dropout,seed,epoch,layer,stable_rank,test_acc
0.1,7,1,layer2,2.0070050752586166,0.1261
0.1,7,1,layer4,2.958757336098935,0.1261
0.1,7,50,layer1,2.0531486111509825,0.5611
0.1,7,50,layer2,2.8825044080012843,0.5611
0.1,7,50,layer4,3.6795542113191626,0.5611
0.1,7,100,layer1,2.142239858194613,0.7706
0.1,7,100,layer2,3.0214605669232917,0.7706
0.1,7,100,layer4,3.787299742190742,0.7706
0.1,8,1,layer1,2.2965572097018327,0.1411
0.1,8,1,layer2,2.0102078076116934,0.1411
0.1,8,1,layer4,3.198246438377354,0.1411
0.1,8,50,layer1,2.2145583411659677,0.5567
0.1,8,50,layer2,2.927221713088729,0.5567
0.1,8,50,layer4,3.6996915008603333,0.5567
0.1,8,100,layer1,2.1545682548224048,0.7641
0.1,8,100,layer2,2.9767244148071472,0.7641
0.1,8,100,layer4,3.8341288750770106,0.7641
0.1,9,1,layer1,2.173855135924497,0.1321
0.1,9,1,layer2,2.515881107695955,0.1321
0.1,9,1,layer4,3.1828549168545166,0.1321
0.1,9,50,layer1,2.2938956326118323,0.5721
0.1,9,50,layer2,3.1352601398628113,0.5721
0.1,9,50,layer4,3.6037835992325653,0.5721
0.1,9,100,layer1,2.2521558048345116,0.7656
0.1,9,100,layer2,3.164814424983967,0.7656
0.1,9,100,layer4,3.7877008633216502,0.7656
0.2,0,1,layer1,2.344223193673187,0.1299
0.2,0,1,layer2,2.5163053591999662,0.1299
0.2,0,1,layer4,3.136712950448784,0.1299
0.2,0,50,layer1,2.889971436429528,0.5773
0.2,0,50,layer2,2.9543478072416933,0.5773
0.2,0,50,layer4,3.855489799937989,0.5773
0.2,0,100,layer1,2.738849514572519,0.7693
0.2,0,100,layer2,2.9548329293755704,0.7693
0.2,0,100,layer4,3.824953960175535,0.7693
0.2,1,1,layer1,2.213314638252968,0.1178
0.2,1,1,layer2,2.3339447257672483,0.1178
0.2,1,1,layer4,2.4782658871545467,0.1178
0.2,1,50,layer1,2.895944939183844,0.562
0.2,1,50,layer2,3.045587478078926,0.562
0.2,1,50,layer4,3.929689494320103,0.562
0.2,1,100,layer1,2.804101468498919,0.7639
0.2,1,100,layer2,3.0365110733300047,0.7639
0.2,1,100,layer4,3.8008223409944435,0.7639
0.2,2,1,layer1,2.3615222424914704,0.1376
0.2,2,1,layer2,2.5094018968951906,0.1376
0.2,2,1,layer4,3.1757643513619067,0.1376
0.2,2,50,layer1,2.6002279344749146,0.5627
0.2,2,50,layer2,3.0412052982884274,0.5627
0.2,2,50,layer4,3.9548268133680398,0.5627
0.2,2,100,layer1,2.620230415686836,0.7655
0.2,2,100,layer2,3.1061217974647333,0.7655
0.2,2,100,layer4,3.850174826260708,0.7655
0.2,3,1,layer1,2.1058693367423085,0.1133
0.2,3,1,layer2,1.7368030619237642,0.1133
0.2,3,1,layer4,2.688211986942084,0.1133
0.2,3,50,layer1,2.0880213071513714,0.596
0.2,3,50,layer2,3.2743657588109953,0.596
0.2,3,50,layer4,3.9824319688166843,0.596
0.2,3,100,layer1,2.1102361653062522,0.7638
0.2,3,100,layer2,3.273884135349458,0.7638
0.2,3,100,layer4,3.839783473740185,0.7638
0.2,4,1,layer1,2.2615396783675887,0.0978
0.2,4,1,layer2,2.464063511327595,0.0978
0.2,4,1,layer4,2.995873220715368,0.0978
0.2,4,50,layer1,2.6557123883738694,0.5466
0.2,4,50,layer2,2.937016571945078,0.5466
0.2,4,50,layer4,3.7249956807636586,0.5466
0.2,4,100,layer1,2.620742774684584,0.7682
0.2,4,100,layer2,3.125543050172346,0.7682
0.2,4,100,layer4,3.8614864805936255,0.7682
0.2,5,1,layer1,2.380683335529305,0.113
0.2,5,1,layer2,2.43765182562832,0.113
0.2,5,1,layer4,2.6343198539960215,0.113
0.2,5,50,layer1,2.5672684827294754,0.5661
0.2,5,50,layer2,3.0475739925066962,0.5661
0.2,5,50,layer4,3.922310026651047,0.5661
0.2,5,100,layer1,2.6159862495229413,0.762
0.2,5,100,layer2,3.0220585095496353,0.762
0.2,5,100,layer4,3.761715108200189,0.762
0.2,6,1,layer1,2.3512683702297084,0.1364
0.2,6,1,layer2,2.5570729385150366,0.1364
0.2,6,1,layer4,3.009060183890455,0.1364
0.2,6,50,layer1,2.488637521996651,0.5479
0.2,6,50,layer2,2.9262206465532596,0.5479
0.2,6,50,layer4,3.831334207577739,0.5479
0.2,6,100,layer1,2.491225015327266,0.7648
0.2,6,100,layer2,2.9463723626137575,0.7648
0.2,6,100,layer4,3.7826136627345517,0.7648
0.2,7,1,layer1,2.3283808446756695,0.1271
0.2,7,1,layer2,2.5225676915861412,0.1271
0.2,7,1,layer4,2.9887545650903786,0.1271
0.2,7,50,layer1,2.5237494639601015,0.5587
0.2,7,50,layer2,3.2597425230144146,0.5587
0.2,7,50,layer4,3.6996172048464877,0.5587
0.2,7,100,layer1,2.5014747564530007,0.768
0.2,7,100,layer2,3.214150612512926,0.768
0.2,7,100,layer4,3.8085010988875942,0.768
0.2,8,1,layer1,2.19943657490431,0.1366
